frame,dir,touch,is_oos,rolling,triggered,delay,rr_trigger,we,R,label,MFE,MAE,p025,p05
1H,SHORT,2024-01-04 14:45:00+00:00,False,True,False,999,,28.41805296339219,-1.0,SL,1.8090107517370329,1.6456306203296125,,
1H,SHORT,2024-01-04 11:30:00+00:00,False,True,False,999,,32.34961710699477,-1.0,SL,1.7532077167623201,3.3490530249272905,,
1H,LONG,2024-01-05 01:45:00+00:00,False,True,False,999,,31.68923582209817,-1.0,SL,1.3993195923094666,2.8191825750367783,,
1H,LONG,2024-01-05 12:00:00+00:00,False,True,True,1,2.170258277243598,29.87409949314424,-1.0,SL,2.3624707041313715,1.2859592130103334,0.0,0.0
1H,LONG,2024-01-06 05:15:00+00:00,False,True,False,999,,29.402472958715727,3.0,TP3,4.954246170794172,0.8711766683789586,,
1H,SHORT,2024-01-06 12:00:00+00:00,False,True,True,1,2.2910521844380525,23.73416344210159,-1.0,SL,1.7049795108110741,10.382331856912757,0.0,2.0
1H,LONG,2024-01-07 02:30:00+00:00,False,True,True,7,1.6921783501885652,37.26086823466565,-1.0,SL,15.163214182027806,2.405120642229712,0.0,0.0
1H,LONG,2024-01-07 15:45:00+00:00,False,True,True,1,1.5418753621847208,29.04684915915664,-1.0,SL,17.57712923518027,3.3127494777803363,0.0,0.0
1H,SHORT,2024-01-08 06:15:00+00:00,False,True,False,999,,38.12688868128468,-1.0,SL,0.6636946824036584,10.444969362047855,,
1H,LONG,2024-01-10 13:00:00+00:00,False,False,True,0,0.9612697930118774,34.65276592488472,3.0,TP3,6.533712172317337,4.112836844330799,0.0,0.0
1H,LONG,2024-01-09 12:45:00+00:00,False,True,False,999,,29.308066452019382,-1.0,SL,5.764009190091433,3.6218984341191125,,
1H,LONG,2024-01-09 18:30:00+00:00,False,True,True,0,2.6378340698845313,65.14863328572388,-1.0,SL,2.2364030813812414,2.9089035994483416,4.0,10.0
1H,SHORT,2024-01-10 17:30:00+00:00,False,True,False,999,,29.8366374210032,-1.0,SL,8.612001040875441,5.515455075041756,,
1H,LONG,2024-01-11 05:00:00+00:00,False,True,True,13,2.803476249427986,58.583819632937804,-1.0,SL,2.4269779337407216,4.227587705562186,8.0,10.0
1H,SHORT,2024-01-12 11:15:00+00:00,False,True,True,1,2.1885714192075967,46.72098502496313,3.0,TP3,8.42455999328571,0.10240171169016882,0.0,2.0
1H,SHORT,2024-01-14 06:15:00+00:00,False,True,False,999,,60.378810107371685,3.0,TP3,3.8329650115345077,2.3047402559686603,,
1H,SHORT,2024-01-15 13:45:00+00:00,False,True,True,1,0.951258619103509,64.3430518110211,-1.0,SL,3.398699616248971,2.87684194723095,0.0,0.0
1H,SHORT,2024-01-15 17:00:00+00:00,False,True,False,999,,58.355335739921095,-1.0,SL,2.6470041211439304,2.641755560935122,,
1H,LONG,2024-01-16 06:15:00+00:00,False,True,True,1,2.6291006444971674,28.829890209017165,-1.0,SL,2.39470005390917,5.448922084173842,6.0,8.0
1H,LONG,2024-01-16 18:30:00+00:00,False,True,True,1,2.5073082572440804,59.66991392902418,-1.0,SL,0.8180778169523099,3.0230687056676073,1.0,6.0
1H,SHORT,2024-01-17 14:45:00+00:00,False,True,True,0,1.0971868909193854,59.94233921308603,3.0,TP3,8.902383620650543,0.3526033320009217,0.0,0.0
1H,SHORT,2024-01-18 02:15:00+00:00,False,True,True,2,2.5959587885508104,55.74111763120902,3.0,TP3,8.284704689211088,0.8410168782693601,2.0,32.0
