frame,version,n,avg_R,tp3_rate,sl_rate,PF,avg_MFE,avg_MAE,maxDD_R
1H,B0,491,0.0055507305490645874,0.23625254582484725,0.7352342158859471,1.0075280814336505,4.643103460717772,4.0755542358863925,-37.01402854967513
1H,B1,490,0.001135821465579718,0.23673469387755103,0.736734693877551,1.0015373006915425,4.646999045153639,4.08360772579457,-37.01402854967513
1H,B2,241,0.4720049595931972,0.34854771784232363,0.6141078838174274,1.7669304814837996,5.130637261352004,3.6635167420845525,-12.0
1H,B3,241,0.48773563893746485,0.34854771784232363,0.6141078838174274,1.9032899570719686,5.130637261352004,3.6635167420845525,-10.23821658574768
1H,B4-WE,241,0.30459426944140094,0.34854771784232363,0.6141078838174274,1.7465463998394473,5.130637261352004,3.6635167420845525,-7.575286634299047
4H,B0,202,0.09423093324290341,0.20297029702970298,0.6435643564356436,1.1456489959062284,2.65249743057777,2.437320554744462,-18.633766396973805
4H,B1,202,0.09423093324290341,0.20297029702970298,0.6435643564356436,1.1456489959062284,2.65249743057777,2.437320554744462,-18.633766396973805
4H,B2,161,0.31544019301774917,0.2422360248447205,0.5714285714285714,1.5479198838406516,2.7404150012182025,2.2633546387048824,-12.633766396973805
4H,B3,161,0.24654093450831843,0.2422360248447205,0.5714285714285714,1.5378919254313732,2.7404150012182025,2.2633546387048824,-9.308910944836711
4H,B4-WE,161,0.19546978248614738,0.2422360248447205,0.5714285714285714,1.5413762245078917,2.7404150012182025,2.2633546387048824,-7.694112056840682
1D,B0,51,-0.06819687276379856,0.0392156862745098,0.5294117647058824,0.8769324303458375,1.4645375267576,1.2813888607138977,-17.971396725138394
1D,B1,51,-0.06819687276379856,0.0392156862745098,0.5294117647058824,0.8769324303458375,1.4645375267576,1.2813888607138977,-17.971396725138394
1D,B2,30,0.12669685893424548,0.03333333333333333,0.43333333333333335,1.2665202505138056,1.7356523069351943,1.141301332165986,-7.58985333667767
1D,B3,30,0.15261294134370954,0.03333333333333333,0.43333333333333335,1.6511996899605237,1.7356523069351943,1.141301332165986,-4.362148391233505
1D,B4-WE,30,0.15261294134370954,0.03333333333333333,0.43333333333333335,1.6511996899605237,1.7356523069351943,1.141301332165986,-4.362148391233505
