frame,bucket,n,avg_R,tp3_rate,sl_rate,median_RR_trigger,avg_MFE,avg_MAE
1H,0,56,0.7542694506228546,0.42857142857142855,0.5357142857142857,2.068482423353073,5.399858860567426,3.48148551876357
1H,1,128,0.2924761674112367,0.3046875,0.6640625,2.2731614158583127,5.240244922864191,3.7036998934569456
1H,2,57,0.5978448526042521,0.3684210526315789,0.5789473684210527,2.36230346739839,4.620002345042822,3.7521185864759317
1H,3-4,38,0.07773252761849918,0.23684210526315788,0.6842105263157895,2.5634957883868963,5.78668616690428,3.9534016262731604
1H,5-8,39,0.20126977453001452,0.28205128205128205,0.6923076923076923,2.6612315395157675,4.522893983689149,4.816711548505155
1H,9+,28,0.2857142857142857,0.32142857142857145,0.6785714285714286,2.7350273784866626,4.513941987381533,3.8723282604255016
1H,NO_TRIGGER,144,-0.9166666666666666,0.020833333333333332,0.9791666666666666,,3.5963099776842204,4.663569773020603
4H,0,18,0.6219352475428677,0.3333333333333333,0.5555555555555556,2.386639977619546,2.972975569255582,1.6931469219584405
4H,1,57,0.13245140146600454,0.22807017543859648,0.6140350877192983,2.5524532753097207,2.5294127117805685,2.883655900126575
4H,2,23,0.07180308626532458,0.21739130434782608,0.6086956521739131,2.716786278625662,2.5704291339772682,2.223712071260835
4H,3-4,17,0.26302895897433287,0.29411764705882354,0.6470588235294118,2.766110040591165,3.5696091345321332,2.555333043602603
4H,5-8,24,1.0437813779046226,0.2916666666666667,0.375,2.7758749632460415,3.2418442589052003,1.3666264894005868
4H,9+,22,0.03943592637030332,0.13636363636363635,0.5909090909090909,2.7209216491982824,2.0867837634449775,1.9168177637800836
4H,NO_TRIGGER,41,-0.7744200624583202,0.04878048780487805,0.926829268292683,,2.307260140989728,3.1204550055340317
1D,0,10,-0.2335897625690425,0.0,0.4,2.7080719201910446,1.2010689296123602,1.1596915172704036
1D,1,12,0.07343574791989858,0.0,0.5,2.7546643970419744,1.715204322637079,1.3471979433647345
1D,2,6,0.5425957364465009,0.0,0.3333333333333333,2.7737704885776777,2.071352165876909,0.7502018425751329
1D,3-4,3,0.7866887713425048,0.3333333333333333,0.3333333333333333,2.823314064032231,2.562981164382416,0.7998223184655617
1D,5-8,4,0.3085399302780277,0.0,0.25,2.888811862315196,1.0086384272816504,0.9244942066746313
1D,9+,13,-0.5937525206061998,0.07692307692307693,0.8461538461538461,2.9525957180609157,1.075976425069439,1.7877885990121718
1D,NO_TRIGGER,3,-0.38479651541337273,0.0,0.6666666666666666,,1.3196563244770125,1.2492115928745615
