plan,zone,touch,zq,sl,target,A_strict_pre_time,A_strict_pre_price,B_balanced_pre_time,B_balanced_pre_price,C_deep_pre_time,C_deep_pre_price,fast_time,fast_price,A_strict_pre_pre_score,A_strict_pre_ex,B_balanced_pre_pre_score,B_balanced_pre_ex,A_strict_pre_ret4h,A_strict_pre_ret24h,A_strict_pre_ret72h,A_strict_pre_mfe,A_strict_pre_mae,A_strict_pre_first_hit,A_strict_pre_lead_h,B_balanced_pre_ret4h,B_balanced_pre_ret24h,B_balanced_pre_ret72h,B_balanced_pre_mfe,B_balanced_pre_mae,B_balanced_pre_first_hit,B_balanced_pre_lead_h,fast_ret4h,fast_ret24h,fast_ret72h,fast_mfe,fast_mae,fast_first_hit,C_deep_pre_pre_score,C_deep_pre_ex,C_deep_pre_ret4h,C_deep_pre_ret24h,C_deep_pre_ret72h,C_deep_pre_mfe,C_deep_pre_mae,C_deep_pre_first_hit,C_deep_pre_lead_h
P001,1,2024-06-14 16:00:00+00:00,74,54768.91649825353,67400.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002,1,2024-07-16 01:00:00+00:00,61,57103.052289659856,64936.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002,2,2024-08-02 21:00:00+00:00,67,57103.052289659856,64936.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002,3,2024-08-04 14:00:00+00:00,62,57103.052289659856,64936.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P003,1,2024-08-24 01:00:00+00:00,57,46646.37871613429,65000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P003,2,2024-08-27 15:00:00+00:00,67,46646.37871613429,65000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P004,1,2024-10-02 19:00:00+00:00,71,47024.33902940462,62555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P005,1,2024-10-23 18:00:00+00:00,86,59491.82253154982,67953.7,2024-10-25 18:00:00+00:00,66993.1,2024-10-25 18:00:00+00:00,66993.1,,,2024-10-23 18:00:00+00:00,66037.1,85.0,82.0,85.0,82.0,-0.0058677684716784695,0.0003463043208926653,0.03253917194457334,0.3944883876100673,-0.021433550619392228,TP1,-48.0,-0.0058677684716784695,0.0003463043208926653,0.03253917194457334,0.3944883876100673,-0.021433550619392228,TP1,-48.0,0.00640851884773852,0.02677282921266988,0.014828028487017031,0.41467599273741573,-0.012338518802309628,TP1,,,,,,,,,
P006,1,2024-10-31 18:00:00+00:00,78,61675.712364041625,73660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P006,2,2024-11-03 02:00:00+00:00,80,61675.712364041625,73660.0,,,,,,,2024-11-03 02:00:00+00:00,68200.1,,,,,,,,,,,,,,,,,,,0.005400285336824906,0.01596038715485748,0.0715365519991904,0.4612881799293549,-0.02038266806060407,TP1,,,,,,,,,
P007,1,2024-11-14 21:00:00+00:00,83,73764.30615685039,93421.1,,,,,,,2024-11-14 23:00:00+00:00,87382.7,,,,,,,,,,,,,,,,,,,0.009960781710796507,0.042249781707363265,0.028806617328143824,0.197381174992304,-0.007652544496793978,TP1,,,,,,,,,
P008,1,2024-12-18 20:00:00+00:00,80,86485.07914420801,106665.8,,,2024-12-19 18:00:00+00:00,98883.6,,,2024-12-19 10:00:00+00:00,102378.7,,,55.0,84.0,,,,,,,,-0.005579287161875279,-0.019496660720281334,-0.030037336828351857,0.03922288428010301,-0.10087213653224603,none,-8.0,-0.014363339249277463,-0.07815492871075713,-0.052830325057848904,0.003744919597533647,-0.1315674061108414,none,,,,,,,,,
P008,2,2024-12-19 02:00:00+00:00,82,86485.07914420801,106665.8,2024-12-19 18:00:00+00:00,98883.6,2024-12-19 18:00:00+00:00,98883.6,2024-12-19 18:00:00+00:00,98883.6,2024-12-19 02:00:00+00:00,100526.3,65.0,88.0,65.0,88.0,-0.005579287161875279,-0.019496660720281334,-0.030037336828351857,0.03922288428010301,-0.10087213653224603,none,-16.0,-0.005579287161875279,-0.019496660720281334,-0.030037336828351857,0.03922288428010301,-0.10087213653224603,none,-16.0,0.006301833450549799,-0.02916649672772198,-0.03814822588715594,0.02224094590171921,-0.11556478254944236,none,65.0,88.0,-0.005579287161875279,-0.019496660720281334,-0.030037336828351857,0.03922288428010301,-0.10087213653224603,none,-16.0
P008,3,2025-01-13 12:00:00+00:00,80,86485.07914420801,106665.8,,,2025-01-13 14:00:00+00:00,91800.0,2025-01-13 14:00:00+00:00,91800.0,2025-01-13 14:00:00+00:00,91800.0,,,100.0,94.0,,,,,,,,0.0026067538126361978,0.04846405228758166,0.055032679738562074,0.0605,-0.03149237472766886,none,0.0,0.0026067538126361978,0.04846405228758166,0.055032679738562074,0.0605,-0.03149237472766886,none,100.0,94.0,0.0026067538126361978,0.04846405228758166,0.055032679738562074,0.0605,-0.03149237472766886,none,0.0
P009,1,2025-01-19 22:00:00+00:00,75,86031.91548241641,105784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
