plan,zone,reg,touch,zone_low,zone_high,zone_mid,zone_quality,sl,target,touch_price,fear,max_exhaust,max_early,max_reaction,fast_time,fast_price,h4_time,h4_price,confirm_time,confirm_price,strict_v25_time,strict_v25_price,moderate_time,moderate_price,loose_time,loose_price
P001,1,2024-05-18 00:00:00+00:00,2024-06-14 16:00:00+00:00,64409.46386648947,65805.33404714229,65107.39895681587,74,54768.91649825353,67400.6,65286.2,True,60,66,75,,,,,,,,,,,,
P002,1,2024-07-16 00:00:00+00:00,2024-07-16 01:00:00+00:00,63468.49751321996,64705.13448678005,64086.816000000006,61,57103.052289659856,64936.1,64811.9,True,42,71,81,,,,,,,,,,,,
P002,2,2024-07-16 00:00:00+00:00,2024-08-02 21:00:00+00:00,60194.17208409546,61430.80905765555,60812.4905708755,67,57103.052289659856,64936.1,61966.6,True,75,82,75,,,,,,,,,,,,
P002,3,2024-07-16 00:00:00+00:00,2024-08-04 14:00:00+00:00,58339.689263219945,59576.326236780034,58958.00774999999,62,57103.052289659856,64936.1,59564.0,True,59,70,67,,,,,,,,,,,,
P003,1,2024-08-24 00:00:00+00:00,2024-08-24 01:00:00+00:00,62374.78335806715,63883.08464193285,63128.934,57,46646.37871613429,65000.0,63808.2,False,46,70,77,,,,,,,,,,,,
P003,2,2024-08-24 00:00:00+00:00,2024-08-27 15:00:00+00:00,60101.859857766576,61610.16114163228,60856.01049969943,67,46646.37871613429,65000.0,61673.3,True,51,77,67,,,,,,,,,,,,
P004,1,2024-09-19 00:00:00+00:00,2024-10-02 19:00:00+00:00,58826.50581879923,60068.94646586282,59447.72614233103,71,47024.33902940462,62555.0,60155.0,True,82,80,77,,,,,,,,,,,,
P005,1,2024-10-16 00:00:00+00:00,2024-10-23 18:00:00+00:00,64303.439984047014,65422.368626396565,64862.90430522179,86,59491.82253154982,67953.7,66037.1,False,71,90,77,,,,,,,,,,,,
P006,1,2024-10-30 00:00:00+00:00,2024-10-31 18:00:00+00:00,69257.84418231797,70338.47313133105,69798.15865682451,78,61675.712364041625,73660.0,70654.1,True,65,72,80,,,,,,,,,,,,
P006,2,2024-10-30 00:00:00+00:00,2024-11-03 02:00:00+00:00,66989.64487730045,68070.27382631353,67529.95935180699,80,61675.712364041625,73660.0,68200.1,True,59,80,85,,,,,,,,,,,,
P007,1,2024-11-14 00:00:00+00:00,2024-11-14 21:00:00+00:00,85542.74566540556,87287.84279119456,86415.29422830006,83,73764.30615685039,93421.1,88262.5,True,71,65,77,,,,,,,,,,,,
P008,1,2024-12-16 00:00:00+00:00,2024-12-18 20:00:00+00:00,99934.92935194528,101957.1972558066,100946.06330387594,80,86485.07914420801,106665.8,100836.1,True,84,70,71,,,,,,,,,,,,
P008,2,2024-12-16 00:00:00+00:00,2024-12-19 02:00:00+00:00,97197.4543921958,99219.72229605712,98208.58834412646,82,86485.07914420801,106665.8,100526.3,True,88,80,67,,,,,,,,,,,,
P008,3,2024-12-16 00:00:00+00:00,2025-01-13 12:00:00+00:00,88507.34704806934,90529.61495193066,89518.481,80,86485.07914420801,106665.8,90713.9,True,94,95,85,,,,,,,,,,,,
P009,1,2025-01-18 00:00:00+00:00,2025-01-19 22:00:00+00:00,99522.55434123955,101440.61068629527,100481.58251376741,75,86031.91548241641,105784.0,103396.7,True,75,82,76,,,,,,,,,,,,
P009,2,2025-01-18 00:00:00+00:00,2025-01-27 07:00:00+00:00,96334.02615396908,98252.08249902481,97293.05432649695,94,86031.91548241641,105784.0,98996.3,True,71,85,80,,,,,,,,,,,,
P011,1,2025-05-07 00:00:00+00:00,2025-05-07 18:00:00+00:00,94514.12407131553,95875.90489480058,95195.01448305805,82,88474.73026477243,97865.4,96548.7,True,66,84,86,,,,,,,,,,,,
P012,1,2025-05-21 00:00:00+00:00,2025-05-29 23:00:00+00:00,103643.77028983638,105101.97018330912,104372.87023657275,72,90275.20009450532,107292.5,105539.9,True,60,82,67,,,,,,,,,,,,
P012,2,2025-05-21 00:00:00+00:00,2025-06-05 19:00:00+00:00,100600.29526590415,102058.4951593769,101329.39521264052,71,90275.20009450532,107292.5,101872.9,True,40,70,77,,,,,,,,,,,,
P013,1,2025-07-03 00:00:00+00:00,2025-07-04 14:00:00+00:00,106070.74998121055,107468.4150082555,106769.58249473303,77,91230.50245943257,109690.4,107762.5,True,64,81,75,,,,,,,,,,,,
P014,1,2025-08-14 00:00:00+00:00,2025-08-14 12:00:00+00:00,117707.40689742041,119154.88491492844,118431.14590617442,85,109678.78297373795,124545.6,118822.2,True,54,58,73,,,,,,,,,,,,
P014,2,2025-08-14 00:00:00+00:00,2025-08-18 02:00:00+00:00,113950.60299124598,115398.081008754,114674.34199999999,75,109678.78297373795,124545.6,115394.8,True,65,90,77,,,,,,,,,,,,
P014,3,2025-08-14 00:00:00+00:00,2025-08-20 01:00:00+00:00,111126.26099124599,112573.73900875401,111850.0,71,109678.78297373795,124545.6,112963.1,True,68,86,77,,,,,,,,,,,,
P015,1,2025-09-17 00:00:00+00:00,2025-09-17 18:00:00+00:00,113810.64599951278,115184.61758099584,114497.63179025431,71,100845.4982517141,116910.8,115184.1,True,46,67,77,,,,,,,,,,,,
P015,2,2025-09-17 00:00:00+00:00,2025-10-10 21:00:00+00:00,107129.4668984703,108422.78038215404,107776.12364031217,81,100845.4982517141,116910.8,113253.6,True,82,80,70,,,,,,,,,,,,
P015,3,2025-09-17 00:00:00+00:00,2025-10-10 21:00:00+00:00,102097.88141723804,103350.26458276197,102724.073,71,100845.4982517141,116910.8,113253.6,True,82,80,70,,,,,,,,,,,,
P016,1,2025-10-02 00:00:00+00:00,2025-10-10 20:00:00+00:00,112703.28820096895,114063.8912778418,113383.58973940538,85,102880.26974288732,119457.0,114198.0,True,66,50,55,,,,,,,,,,,,
P016,2,2025-10-02 00:00:00+00:00,2025-10-10 21:00:00+00:00,107846.93625326637,109173.06042467481,108509.99833897059,91,102880.26974288732,119457.0,113253.6,True,82,80,70,,,,,,,,,,,,
P016,3,2025-10-02 00:00:00+00:00,2025-10-10 21:00:00+00:00,104206.39391429577,105532.51808570421,104869.45599999999,77,102880.26974288732,119457.0,113253.6,True,82,80,70,,,,,,,,,,,,
P017,1,2026-01-04 00:00:00+00:00,2026-01-08 07:00:00+00:00,88287.16062267011,89612.68596463298,88949.92329365155,74,78611.7119870557,91597.6,90509.9,False,73,90,75,,,,,,,,,,,,
P017,2,2026-01-04 00:00:00+00:00,2026-01-29 15:00:00+00:00,83745.83732901857,85071.36267098144,84408.6,61,78611.7119870557,91597.6,84898.0,True,75,83,70,,,,,,,,,,,,
P017,3,2026-01-04 00:00:00+00:00,2026-01-30 01:00:00+00:00,79937.23732901856,81262.76267098144,80600.0,61,78611.7119870557,91597.6,82434.7,True,64,86,77,,,,,,,,,,,,
P018,1,2026-03-05 00:00:00+00:00,2026-03-06 12:00:00+00:00,68193.28135110566,70012.78829933214,69103.0348252189,66,59672.43957766028,74046.5,69895.2,True,42,55,47,,,,,,,,,,,,
P018,2,2026-03-05 00:00:00+00:00,2026-03-06 14:00:00+00:00,66441.14652588675,68260.65347411323,67350.9,61,59672.43957766028,74046.5,68367.6,True,59,65,67,,,,,,,,,,,,
P019,1,2026-04-11 00:00:00+00:00,2026-04-12 01:00:00+00:00,70913.86386186542,72208.97973436944,71561.42179811743,63,62975.52619124398,73450.0,71598.7,True,48,73,52,,,,,,,,,,,,
P020,1,2026-04-27 00:00:00+00:00,2026-04-27 05:00:00+00:00,76965.08985795395,78135.78850091484,77550.4391794344,81,69877.00603555865,79444.0,77730.6,True,65,75,63,,,,,,,,,,,,
P020,2,2026-04-27 00:00:00+00:00,2026-04-28 14:00:00+00:00,74611.70485150834,75782.40349446924,75197.05417298879,71,69877.00603555865,79444.0,75920.0,True,53,60,77,,,,,,,,,,,,
P021,1,2026-07-22 00:00:00+00:00,2026-07-23 12:00:00+00:00,64185.07356908564,65086.86704807935,64635.970308582495,73,58336.209781509424,66924.1,65138.0,True,64,81,85,,,,,,,,,,,,
P021,2,2026-07-22 00:00:00+00:00,2026-07-28 00:00:00+00:00,62662.59126050314,63564.384739496854,63113.488,63,58336.209781509424,66924.1,63453.1,True,66,80,85,,,,,,,,,,,,
P022,1,2026-08-20 00:00:00+00:00,2026-08-20 03:00:00+00:00,68301.94341093842,69126.51415634209,68714.22878364025,67,61021.4117371881,70450.0,69183.5,True,33,53,77,,,,,,,,,,,,
