plan,zone,touch,zone_quality,zone_mid,zone_low,zone_high,sl,target,rr_mid,fear_any_24h,fear_any_72h,max_exhaust_24h,max_early_24h,max_reaction_24h,max_exhaust_72h,max_early_72h,max_reaction_72h,max_indep_72h,early_core72_time,early_core72_price,early_rr3_72_time,early_rr3_72_price,early_rr35_72_time,early_rr35_72_price,early_rr4_72_time,early_rr4_72_price,fast_core72_time,fast_core72_price,fast_rr3_72_time,fast_rr3_72_price,early_core_rows_24h,early_core_rows_72h,fast_core_rows_72h,blockers,early_core72_ret4h,early_core72_ret24h,early_core72_ret72h,early_core72_mfe,early_core72_mae,early_core72_first_hit,early_core72_hit_time,fast_core72_ret4h,fast_core72_ret24h,fast_core72_ret72h,fast_core72_mfe,fast_core72_mae,fast_core72_first_hit,fast_core72_hit_time
P001,1,2024-06-14 16:00:00+00:00,74,65107.39895681587,64409.46386648947,65805.33404714229,54768.91649825353,67400.6,0.22181215206153412,True,True,60,66,75,73,91,80,4,,,,,,,,,,,,,0,0,0,"{""zone"": 73, ""fear"": 69, ""exhaust"": 72, ""early"": 71, ""safety"": 73, ""nonchase"": 0, ""independent"": 55, ""rr4_close"": 73, ""rr4_mid"": 73}",,,,,,,,,,,,,,
P002,1,2024-07-16 01:00:00+00:00,61,64086.816000000006,63468.49751321996,64705.13448678005,57103.052289659856,64936.1,0.12160835263405945,True,True,42,71,81,61,86,85,4,,,,,,,,,,,,,0,0,0,"{""zone"": 73, ""fear"": 71, ""exhaust"": 73, ""early"": 71, ""safety"": 0, ""nonchase"": 1, ""independent"": 66, ""rr4_close"": 73, ""rr4_mid"": 73}",,,,,,,,,,,,,,
P002,2,2024-08-02 21:00:00+00:00,67,60812.4905708755,60194.17208409546,61430.80905765555,57103.052289659856,64936.1,1.1116533330682934,True,True,75,82,75,75,82,77,5,,,,,,,,,,,,,0,0,0,"{""zone"": 73, ""fear"": 45, ""exhaust"": 72, ""early"": 71, ""safety"": 22, ""nonchase"": 0, ""independent"": 66, ""rr4_close"": 69, ""rr4_mid"": 73}",,,,,,,,,,,,,,
P002,3,2024-08-04 14:00:00+00:00,62,58958.00774999999,58339.689263219945,59576.326236780034,57103.052289659856,64936.1,3.222768620494983,True,True,59,70,67,71,70,67,3,,,,,,,,,,,,,0,0,0,"{""zone"": 73, ""fear"": 51, ""exhaust"": 72, ""early"": 73, ""safety"": 59, ""nonchase"": 10, ""independent"": 70, ""rr4_close"": 65, ""rr4_mid"": 73}",,,,,,,,,,,,,,
P003,1,2024-08-24 01:00:00+00:00,57,63128.934,62374.78335806715,63883.08464193285,46646.37871613429,65000.0,0.11351795688084423,False,False,46,70,77,64,96,85,4,,,,,,,,,,,,,0,0,0,"{""zone"": 73, ""fear"": 73, ""exhaust"": 73, ""early"": 72, ""safety"": 73, ""nonchase"": 12, ""independent"": 64, ""rr4_close"": 73, ""rr4_mid"": 73}",,,,,,,,,,,,,,
P003,2,2024-08-27 15:00:00+00:00,67,60856.01049969943,60101.859857766576,61610.16114163228,46646.37871613429,65000.0,0.29163243378998127,True,True,51,77,67,59,77,67,4,,,,,,,,,,,,,0,0,0,"{""zone"": 73, ""fear"": 57, ""exhaust"": 73, ""early"": 72, ""safety"": 73, ""nonchase"": 0, ""independent"": 69, ""rr4_close"": 73, ""rr4_mid"": 73}",,,,,,,,,,,,,,
P004,1,2024-10-02 19:00:00+00:00,71,59447.72614233103,58826.50581879923,60068.94646586282,47024.33902940462,62555.0,0.25011487039922364,True,True,82,80,77,82,80,77,3,,,,,,,,,,,,,0,0,0,"{""zone"": 73, ""fear"": 72, ""exhaust"": 72, ""early"": 70, ""safety"": 73, ""nonchase"": 0, ""independent"": 47, ""rr4_close"": 73, ""rr4_mid"": 73}",,,,,,,,,,,,,,
P005,1,2024-10-23 18:00:00+00:00,86,64862.90430522179,64303.439984047014,65422.368626396565,59491.82253154982,67953.7,0.5754512452088713,False,True,71,90,77,82,90,77,4,2024-10-25 18:00:00+00:00,66993.1,,,,,,,2024-10-23 18:00:00+00:00,66037.1,,,0,2,22,"{""zone"": 0, ""fear"": 70, ""exhaust"": 70, ""early"": 70, ""safety"": 0, ""nonchase"": 0, ""independent"": 38, ""rr4_close"": 73, ""rr4_mid"": 73}",-0.0058677684716784695,0.0003463043208926653,0.03253917194457334,0.3944883876100673,-0.021433550619392228,TP1,2024-10-27 17:00:00+00:00,0.00640851884773852,0.02677282921266988,0.014828028487017031,0.41467599273741573,-0.012338518802309628,TP1,2024-10-24 13:00:00+00:00
P006,1,2024-10-31 18:00:00+00:00,78,69798.15865682451,69257.84418231797,70338.47313133105,61675.712364041625,73660.0,0.47545298595656915,True,True,65,72,80,65,72,80,3,,,,,,,,,,,,,0,0,0,"{""zone"": 73, ""fear"": 58, ""exhaust"": 73, ""early"": 73, ""safety"": 0, ""nonchase"": 0, ""independent"": 65, ""rr4_close"": 73, ""rr4_mid"": 73}",,,,,,,,,,,,,,
P006,2,2024-11-03 02:00:00+00:00,80,67529.95935180699,66989.64487730045,68070.27382631353,61675.712364041625,73660.0,1.047110014491022,True,True,59,80,85,71,80,85,4,,,,,,,,,2024-11-03 02:00:00+00:00,68200.1,,,0,0,28,"{""zone"": 73, ""fear"": 63, ""exhaust"": 72, ""early"": 69, ""safety"": 1, ""nonchase"": 1, ""independent"": 43, ""rr4_close"": 73, ""rr4_mid"": 73}",,,,,,,,0.005400285336824906,0.01596038715485748,0.0715365519991904,0.4612881799293549,-0.02038266806060407,TP1,2024-11-06 03:00:00+00:00
