plan,zone,touch,zone_quality,common_sl,target,strict_tactical_rr0_time,strict_tactical_rr0_price,strict_tactical_rr0_sl,strict_tactical_rr0_rr,strict_tactical_rr2_time,strict_tactical_rr2_price,strict_tactical_rr2_sl,strict_tactical_rr2_rr,strict_tactical_rr2p5_time,strict_tactical_rr2p5_price,strict_tactical_rr2p5_sl,strict_tactical_rr2p5_rr,strict_tactical_rr3_time,strict_tactical_rr3_price,strict_tactical_rr3_sl,strict_tactical_rr3_rr,strict_tactical_rr4_time,strict_tactical_rr4_price,strict_tactical_rr4_sl,strict_tactical_rr4_rr,moderate_tactical_rr0_time,moderate_tactical_rr0_price,moderate_tactical_rr0_sl,moderate_tactical_rr0_rr,moderate_tactical_rr2_time,moderate_tactical_rr2_price,moderate_tactical_rr2_sl,moderate_tactical_rr2_rr,moderate_tactical_rr2p5_time,moderate_tactical_rr2p5_price,moderate_tactical_rr2p5_sl,moderate_tactical_rr2p5_rr,moderate_tactical_rr3_time,moderate_tactical_rr3_price,moderate_tactical_rr3_sl,moderate_tactical_rr3_rr,moderate_tactical_rr4_time,moderate_tactical_rr4_price,moderate_tactical_rr4_sl,moderate_tactical_rr4_rr,loose_tactical_rr0_time,loose_tactical_rr0_price,loose_tactical_rr0_sl,loose_tactical_rr0_rr,loose_tactical_rr2_time,loose_tactical_rr2_price,loose_tactical_rr2_sl,loose_tactical_rr2_rr,loose_tactical_rr2p5_time,loose_tactical_rr2p5_price,loose_tactical_rr2p5_sl,loose_tactical_rr2p5_rr,loose_tactical_rr3_time,loose_tactical_rr3_price,loose_tactical_rr3_sl,loose_tactical_rr3_rr,loose_tactical_rr4_time,loose_tactical_rr4_price,loose_tactical_rr4_sl,loose_tactical_rr4_rr,strict_tactical_rr0_ret4h,strict_tactical_rr0_ret24h,strict_tactical_rr0_ret72h,strict_tactical_rr0_mfe,strict_tactical_rr0_mae,strict_tactical_rr0_first_hit,moderate_tactical_rr0_ret4h,moderate_tactical_rr0_ret24h,moderate_tactical_rr0_ret72h,moderate_tactical_rr0_mfe,moderate_tactical_rr0_mae,moderate_tactical_rr0_first_hit,loose_tactical_rr0_ret4h,loose_tactical_rr0_ret24h,loose_tactical_rr0_ret72h,loose_tactical_rr0_mfe,loose_tactical_rr0_mae,loose_tactical_rr0_first_hit,loose_tactical_rr2_ret4h,loose_tactical_rr2_ret24h,loose_tactical_rr2_ret72h,loose_tactical_rr2_mfe,loose_tactical_rr2_mae,loose_tactical_rr2_first_hit,loose_tactical_rr2p5_ret4h,loose_tactical_rr2p5_ret24h,loose_tactical_rr2p5_ret72h,loose_tactical_rr2p5_mfe,loose_tactical_rr2p5_mae,loose_tactical_rr2p5_first_hit,loose_tactical_rr3_ret4h,loose_tactical_rr3_ret24h,loose_tactical_rr3_ret72h,loose_tactical_rr3_mfe,loose_tactical_rr3_mae,loose_tactical_rr3_first_hit,strict_tactical_rr2_ret4h,strict_tactical_rr2_ret24h,strict_tactical_rr2_ret72h,strict_tactical_rr2_mfe,strict_tactical_rr2_mae,strict_tactical_rr2_first_hit,strict_tactical_rr2p5_ret4h,strict_tactical_rr2p5_ret24h,strict_tactical_rr2p5_ret72h,strict_tactical_rr2p5_mfe,strict_tactical_rr2p5_mae,strict_tactical_rr2p5_first_hit,strict_tactical_rr3_ret4h,strict_tactical_rr3_ret24h,strict_tactical_rr3_ret72h,strict_tactical_rr3_mfe,strict_tactical_rr3_mae,strict_tactical_rr3_first_hit,moderate_tactical_rr2_ret4h,moderate_tactical_rr2_ret24h,moderate_tactical_rr2_ret72h,moderate_tactical_rr2_mfe,moderate_tactical_rr2_mae,moderate_tactical_rr2_first_hit,moderate_tactical_rr2p5_ret4h,moderate_tactical_rr2p5_ret24h,moderate_tactical_rr2p5_ret72h,moderate_tactical_rr2p5_mfe,moderate_tactical_rr2p5_mae,moderate_tactical_rr2p5_first_hit,moderate_tactical_rr3_ret4h,moderate_tactical_rr3_ret24h,moderate_tactical_rr3_ret72h,moderate_tactical_rr3_mfe,moderate_tactical_rr3_mae,moderate_tactical_rr3_first_hit,moderate_tactical_rr4_ret4h,moderate_tactical_rr4_ret24h,moderate_tactical_rr4_ret72h,moderate_tactical_rr4_mfe,moderate_tactical_rr4_mae,moderate_tactical_rr4_first_hit,loose_tactical_rr4_ret4h,loose_tactical_rr4_ret24h,loose_tactical_rr4_ret72h,loose_tactical_rr4_mfe,loose_tactical_rr4_mae,loose_tactical_rr4_first_hit,strict_tactical_rr4_ret4h,strict_tactical_rr4_ret24h,strict_tactical_rr4_ret72h,strict_tactical_rr4_mfe,strict_tactical_rr4_mae,strict_tactical_rr4_first_hit
P001,1,2024-06-14 16:00:00+00:00,74,54768.91649825353,67400.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002,1,2024-07-16 01:00:00+00:00,61,57103.052289659856,64936.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002,2,2024-08-02 21:00:00+00:00,67,57103.052289659856,64936.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002,3,2024-08-04 14:00:00+00:00,62,57103.052289659856,64936.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P003,1,2024-08-24 01:00:00+00:00,57,46646.37871613429,65000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P003,2,2024-08-27 15:00:00+00:00,67,46646.37871613429,65000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P004,1,2024-10-02 19:00:00+00:00,71,47024.33902940462,62555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P005,1,2024-10-23 18:00:00+00:00,86,59491.82253154982,67953.7,2024-10-25 18:00:00+00:00,66993.1,65803.7623677966,0.8076764528339656,,,,,,,,,,,,,,,,,2024-10-25 18:00:00+00:00,66993.1,65803.7623677966,0.8076764528339656,,,,,,,,,,,,,,,,,2024-10-25 18:00:00+00:00,66993.1,65803.7623677966,0.8076764528339656,,,,,,,,,,,,,,,,,-0.0058677684716784695,0.0003463043208926653,0.03253917194457334,0.3944883876100673,-0.021433550619392228,SL,-0.0058677684716784695,0.0003463043208926653,0.03253917194457334,0.3944883876100673,-0.021433550619392228,SL,-0.0058677684716784695,0.0003463043208926653,0.03253917194457334,0.3944883876100673,-0.021433550619392228,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P006,1,2024-10-31 18:00:00+00:00,78,61675.712364041625,73660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P006,2,2024-11-03 02:00:00+00:00,80,61675.712364041625,73660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P007,1,2024-11-14 21:00:00+00:00,83,73764.30615685039,93421.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
