timestamp,direction,state,priority_extreme_near,r25_parent_watch_pass,r25_seed_present,detector_can_execute,execution_authority,capital_authority,phase,streak_id
2026-09-05 00:00:00+00:00,LONG,EARLY_DETECT,False,False,False,False,FROZEN_R2_5_ONLY,FROZEN_R2_5_ONLY,BRIDGE_HELDOUT_PRE_FREEZE,1
2026-09-05 04:00:00+00:00,LONG,EARLY_DETECT,False,False,False,False,FROZEN_R2_5_ONLY,FROZEN_R2_5_ONLY,BRIDGE_HELDOUT_PRE_FREEZE,1
2026-09-05 08:00:00+00:00,LONG,EARLY_DETECT,False,False,False,False,FROZEN_R2_5_ONLY,FROZEN_R2_5_ONLY,BRIDGE_HELDOUT_PRE_FREEZE,1
2026-09-05 12:00:00+00:00,LONG,EARLY_DETECT,False,False,False,False,FROZEN_R2_5_ONLY,FROZEN_R2_5_ONLY,BRIDGE_HELDOUT_PRE_FREEZE,1
2026-09-05 16:00:00+00:00,LONG,EARLY_DETECT,False,False,False,False,FROZEN_R2_5_ONLY,FROZEN_R2_5_ONLY,BRIDGE_HELDOUT_PRE_FREEZE,1
2026-09-05 20:00:00+00:00,LONG,EARLY_DETECT,False,False,False,False,FROZEN_R2_5_ONLY,FROZEN_R2_5_ONLY,BRIDGE_HELDOUT_PRE_FREEZE,1
2026-09-06 00:00:00+00:00,LONG,EARLY_DETECT,False,False,False,False,FROZEN_R2_5_ONLY,FROZEN_R2_5_ONLY,BRIDGE_HELDOUT_PRE_FREEZE,1
2026-09-06 04:00:00+00:00,LONG,EARLY_DETECT,False,False,False,False,FROZEN_R2_5_ONLY,FROZEN_R2_5_ONLY,BRIDGE_HELDOUT_PRE_FREEZE,1
2026-09-06 08:00:00+00:00,LONG,EARLY_DETECT,False,False,False,False,FROZEN_R2_5_ONLY,FROZEN_R2_5_ONLY,BRIDGE_HELDOUT_PRE_FREEZE,1
2026-09-06 12:00:00+00:00,LONG,EARLY_DETECT,False,False,False,False,FROZEN_R2_5_ONLY,FROZEN_R2_5_ONLY,BRIDGE_HELDOUT_PRE_FREEZE,1
2026-09-06 16:00:00+00:00,LONG,EARLY_DETECT,False,False,False,False,FROZEN_R2_5_ONLY,FROZEN_R2_5_ONLY,BRIDGE_HELDOUT_PRE_FREEZE,1
2026-09-06 20:00:00+00:00,LONG,EARLY_DETECT,False,False,False,False,FROZEN_R2_5_ONLY,FROZEN_R2_5_ONLY,BRIDGE_HELDOUT_PRE_FREEZE,1
2026-09-07 00:00:00+00:00,LONG,PRIORITY_WATCH,True,True,False,False,FROZEN_R2_5_ONLY,FROZEN_R2_5_ONLY,BRIDGE_HELDOUT_PRE_FREEZE,1
