row_type,segment,state,n,mean_terminal_R,from_state,to_state,eligible,delta_mean_terminal_R,pass
COHORT,ALL,SEED_REACHED,0.0,,,,,,
COHORT,ALL,CONFIRMED_REACHED,0.0,,,,,,
COHORT,ALL,CORE_REACHED,0.0,,,,,,
COHORT,LONG,SEED_REACHED,0.0,,,,,,
COHORT,LONG,CONFIRMED_REACHED,0.0,,,,,,
COHORT,LONG,CORE_REACHED,0.0,,,,,,
COHORT,SHORT,SEED_REACHED,0.0,,,,,,
COHORT,SHORT,CONFIRMED_REACHED,0.0,,,,,,
COHORT,SHORT,CORE_REACHED,0.0,,,,,,
COMPARISON,ALL,,,,SEED_REACHED,CONFIRMED_REACHED,False,,
COMPARISON,ALL,,,,CONFIRMED_REACHED,CORE_REACHED,False,,
COMPARISON,LONG,,,,SEED_REACHED,CONFIRMED_REACHED,False,,
COMPARISON,LONG,,,,CONFIRMED_REACHED,CORE_REACHED,False,,
COMPARISON,SHORT,,,,SEED_REACHED,CONFIRMED_REACHED,False,,
COMPARISON,SHORT,,,,CONFIRMED_REACHED,CORE_REACHED,False,,
