symbol,date,bin,buy_usdt,sell_usdt,net_cvd_usdt,ncvd,buy_count,sell_count
AAVEUSDT,2026-03-04,M,616523.8315,478690.4599,137833.3716,12.58506,28,29
AAVEUSDT,2026-03-04,R1,7803430.3182,8318140.2291,-514709.9109,-3.192678,83432,70513
AAVEUSDT,2026-03-04,R2,4626783.7353,4421969.8209,204813.9144,2.263449,2462,2304
AAVEUSDT,2026-03-05,M,430618.6753,829486.108,-398867.4327,-31.653513,17,35
AAVEUSDT,2026-03-05,R1,4872705.5511,5688467.5577,-815762.0066,-7.724161,60461,52761
AAVEUSDT,2026-03-05,R2,3127191.7081,3639647.306,-512455.5979,-7.573043,1729,1949
AAVEUSDT,2026-03-05,W,0.0,229298.2268,-229298.2268,-100.0,0,2
AAVEUSDT,2026-03-06,M,857260.8715,191747.7786,665513.0929,63.442098,26,14
AAVEUSDT,2026-03-06,R1,3647760.7604,3586510.6003,61250.1601,0.846667,36721,38938
AAVEUSDT,2026-03-06,R2,2194557.3196,1724493.3823,470063.9373,11.994332,1117,906
AAVEUSDT,2026-03-06,W,223224.98,163256.301,59968.679,15.51658,2,1
AAVEUSDT,2026-03-07,M,51798.5476,115296.6579,-63498.1103,-38.001156,3,5
AAVEUSDT,2026-03-07,R1,1247703.2136,1233424.7095,14278.5041,0.575484,11713,13263
AAVEUSDT,2026-03-07,R2,450747.3536,537693.4894,-86946.1358,-8.796291,227,286
AAVEUSDT,2026-03-08,M,0.0,66543.1722,-66543.1722,-100.0,0,3
AAVEUSDT,2026-03-08,R1,2094150.0692,2639118.0244,-544967.9552,-11.513566,21765,31666
AAVEUSDT,2026-03-08,R2,967443.8561,844153.575,123290.2811,6.805611,552,469
AAVEUSDT,2026-03-09,M,212234.1392,351870.0825,-139635.9433,-24.753572,8,14
AAVEUSDT,2026-03-09,R1,3465212.0448,4249554.9857,-784342.9409,-10.166774,36127,47407
AAVEUSDT,2026-03-09,R2,1629536.0976,1770803.7513,-141267.6537,-4.154516,874,876
AAVEUSDT,2026-03-09,W,0.0,604179.5751,-604179.5751,-100.0,0,4
AAVEUSDT,2026-03-10,M,417879.9835,534782.3694,-116902.3859,-12.271125,18,24
AAVEUSDT,2026-03-10,R1,3898840.6301,4239953.0275,-341112.3974,-4.191191,47878,46169
AAVEUSDT,2026-03-10,R2,2057204.1783,2674626.8857,-617422.7074,-13.048283,1041,1211
AAVEUSDT,2026-03-10,W,109063.152,0.0,109063.152,100.0,1,0
AAVEUSDT,2026-03-11,M,232175.012,111686.6823,120488.3297,35.039765,11,7
AAVEUSDT,2026-03-11,R1,3001434.0166,2469303.336,532130.6806,9.726855,36202,28545
AAVEUSDT,2026-03-11,R2,1083363.3111,1027471.6049,55891.7062,2.647848,573,572
AAVEUSDT,2026-03-11,W,181799.0035,0.0,181799.0035,100.0,1,0
AAVEUSDT,2026-03-12,M,456009.4789,421178.6129,34830.866,3.970741,19,17
AAVEUSDT,2026-03-12,R1,3944956.976,3302224.1742,642732.8018,8.868728,38680,28582
AAVEUSDT,2026-03-12,R2,1764514.8058,1409963.2886,354551.5172,11.168813,1063,775
AAVEUSDT,2026-03-12,W,185972.7489,141084.6723,44888.0766,13.72483,1,1
AAVEUSDT,2026-03-13,M,247736.1615,312640.8133,-64904.6518,-11.58232,14,18
AAVEUSDT,2026-03-13,R1,4896828.4813,4710222.4173,186606.064,1.942387,52431,44537
AAVEUSDT,2026-03-13,R2,2730330.7524,3396279.7894,-665949.037,-10.869779,1481,1665
AAVEUSDT,2026-03-14,M,46288.3409,135369.3224,-89080.9815,-49.037833,2,7
AAVEUSDT,2026-03-14,R1,1816028.2827,2757890.6202,-941862.3375,-20.592021,22068,19361
AAVEUSDT,2026-03-14,R2,603986.6626,1200736.1491,-596749.4865,-33.065991,328,738
AAVEUSDT,2026-03-14,W,111358.16,0.0,111358.16,100.0,1,0
AAVEUSDT,2026-03-15,M,221587.2848,107107.1038,114480.181,34.82876,12,5
AAVEUSDT,2026-03-15,R1,2683596.4075,2892699.9058,-209103.4983,-3.749863,25995,26473
AAVEUSDT,2026-03-15,R2,1025256.1755,1400538.7681,-375282.5926,-15.470499,578,767
AAVEUSDT,2026-03-16,M,378362.5087,586308.4006,-207945.8919,-21.556148,19,27
AAVEUSDT,2026-03-16,R1,4676626.6308,5057043.0836,-380416.4528,-3.908253,43145,45114
