symbol,status,large_cvd_1h,large_cvd_4h,large_cvd_24h,retail_cvd_1h,retail_cvd_4h,retail_cvd_24h,large_activity_1h_vs_24h_hourly_avg,flow_state
ETHUSDT,OK,-58.7836557004273,-43.15202196100105,-16.589121121444183,-28.815017543902854,-27.047332542475704,-5.3942879470153136,3.393942016681344,SELL_ACCELERATION
SOLUSDT,OK,-1.13356736887335,38.915456759999124,6.188230301200464,-16.747043315391295,-16.847789022718786,-6.8081677627689405,0.884113547744516,EARLY_SELL_TURN
LINKUSDT,OK,,100.0,100.0,1.5738960054560516,-1.8901949189593008,-2.132767990249555,0.0,BUILDING_HISTORY
ONDOUSDT,OK,,,,-6.2396616732439325,-2.532490730969486,-3.6288435395013843,,BUILDING_HISTORY
CCUSDT,UNSUPPORTED,,,,,,,,N/A
AAVEUSDT,OK,,,,-7.422011968706693,-1.5299998432162216,-3.1102328959429704,,BUILDING_HISTORY
MORPHOUSDT,OK,,,,11.678690393255382,12.380627598687317,14.707178786236206,,BUILDING_HISTORY
TAOUSDT,OK,,,100.0,8.037331341827954,-2.684712159391914,1.783194971377301,0.0,BUILDING_HISTORY
HYPEUSDT,UNSUPPORTED,,,,,,,,N/A
NEARUSDT,OK,,,-16.409008017467762,-8.346771877686491,-1.2605060493467017,-0.40648527041534394,0.0,BUILDING_HISTORY
SUIUSDT,OK,,,100.0,-3.458008753684362,5.493033519230272,4.5958240271574,0.0,BUILDING_HISTORY
AVAXUSDT,OK,,,,-16.211467906539255,-12.90410434050579,-12.148034217877647,,BUILDING_HISTORY
XRPUSDT,OK,-5.822927025197994,25.498953153888554,61.55963350330841,-0.3848207643246877,-2.559375178463796,-3.00745127235107,1.634803682130957,EARLY_SELL_TURN
XLMUSDT,OK,,,,-4.041290249849659,-2.4584229813260783,-4.029578952061503,,BUILDING_HISTORY
HBARUSDT,OK,,,,-1.7599502805782787,2.5254293797672216,1.4631196039161793,,BUILDING_HISTORY
UNIUSDT,OK,,,100.0,-13.661299564164405,-3.051651266176678,-0.8223987467226589,0.0,BUILDING_HISTORY
ENAUSDT,OK,,,,-11.656027064744919,-3.709987426903912,-6.101649197978662,,BUILDING_HISTORY
SEIUSDT,OK,,,,16.22703977999241,7.704682718363316,-8.277452584716832,,BUILDING_HISTORY
CAKEUSDT,OK,,,,-2.16133968732421,10.786508441402892,3.0630877756472543,,BUILDING_HISTORY
ZECUSDT,OK,-19.340587060943353,17.68450612145789,-17.145129244356088,-0.19000986651875323,3.017440739758861,-2.311409468692816,1.4624024755446143,EARLY_SELL_TURN
