coin,address,display_name,side,position_size,position_value_usd,entry_px,leverage_value,liquidation_px,mark_price,liquidation_distance_pct,unrealized_pnl,account_value
ETH,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,,SHORT,-106520.3867,264202515.13201,2296.08,5.0,3602.8486620427,2480.35,45.255655937375785,-19622509.236668,111786221.426143
ETH,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,,SHORT,-72012.6705,178613026.64115,2302.58,5.0,3550.5572526934,2480.35,43.147428898881216,-12797445.004257,71976205.213719
BTC,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,,SHORT,-1918.59841,147870216.65552,72373.4,5.0,139916.0213610432,77071.5,81.54054528722448,-9014647.89819,111786221.426143
ETH,0x0392a716dbee1661ea781881826b928daeb5d7d9,,LONG,45087.3479,111830148.99637,2486.37,8.0,2181.8081783483,2480.35,12.03627801123632,-274000.37625,15408876.067738
ETH,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,MachiBigBrother,LONG,39000.0,96731700.0,2488.57,25.0,2426.2096506826,2480.35,2.1827705492128047,-322549.551428,4357392.563412
BTC,0x15a4f009bb324a3fb9e36137136b201e3fe0dfdb,,LONG,1000.0,77057000.0,62353.6,40.0,53972.3470882137,77071.5,29.97106960651642,14703345.11882,8524087.379757
BTC,0x8ea85cbd59affca28162fc286d5c093dd0f8edbc,,LONG,1000.0,77056000.0,72771.2,3.0,49513.688154956,77071.5,35.756163880350066,4284721.68354,24994287.829116
ETH,0xde8d9e530b0528ffa7b1190f862536c055dd9524,,LONG,30282.4035,75109445.40105,2134.45,20.0,1759.434737211,2480.35,29.06506189807889,10473114.824938,6510060.800589
BTC,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,,SHORT,-917.91034,70745185.72448,69045.8,5.0,162764.3871403006,77071.5,111.18621947191969,-7367277.142277,71976205.213719
BTC,0xccf3fff396a14d55d93366f870c007425e9f2a75,,LONG,900.0,69351300.0,76758.1,40.0,74776.4875192833,77071.5,2.9777706165271223,268972.51948,2893696.717237
BTC,0x60468ba27448f88b19f52ed02f1a8c52f7a0b21d,,LONG,702.67899,54151534.756956,80118.4,12.0,72635.1443854654,77071.5,5.756155796286038,-2146035.246714,3750334.735364
ETH,0xedcdcaa1f18350c50c10bef860e64daa9785d05a,,LONG,20000.0,49606000.0,1936.0,4.0,1158.2396928762,2480.35,53.303376826810734,10886000.0,11304586.700653
BTC,0xb695651daa495f59dd2725c6fe98322d8b51a92d,,SHORT,-620.0,47780300.0,78863.8,20.0,111695.6775384994,77071.5,44.92474849782266,1115288.70912,23098717.108488
BTC,0x970ca5d7a03bc0ba304997ea709464bbfb662a93,,LONG,600.0,46239600.0,78663.8,40.0,71359.9519727257,77071.5,7.410713463828135,-958714.285187,3958828.45616
ETH,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,SHORT,-18606.7792,46150394.44976,2281.1,25.0,4228.5379532213,2480.35,70.48150274039149,-3706410.895941,38086235.696235
BTC,0x218a65e21eddeece7a9df38c6bbdd89f692b7da2,,SHORT,-525.44604,40488770.05824,75908.2,8.0,88066.8696259695,77071.5,14.266453391940598,-603080.420717,8185659.428321
BTC,0xfc27136e42af1732ddc9ce2605ea9bff1b959d9d,Bronny James,SHORT,-519.32851,40017896.99507,77728.8,10.0,98638.4953992167,77071.5,27.98310062632322,348920.92772,12369238.588432
BTC,0xdd9f274410c8c704bdbb599dce6c4fb34be4f50a,,SHORT,-511.00033,39376152.42881,71157.6,40.0,98866.1251204348,77071.5,28.27844938847018,-3014564.03003,4432844.770427
BTC,0xcfe2729438475c5eb9e8e6da6b314a0b9e2d8fb3,,LONG,500.0,38551500.0,78639.3,10.0,44788.1134139889,77071.5,41.88758047528736,-768172.40065,5697080.635101
BTC,0xec4a6f59960fb55a7fa49262e2628687b322cf62,,LONG,500.0,38528500.0,76982.9,40.0,69538.0623255676,77071.5,9.774608868949478,37029.736409,5076505.07901
ETH,0x77ddcc4b6440b3a32b7802f053105c2fad3ae0e9,,LONG,14948.8937,37077741.04411,2463.98,12.0,2182.3734049063,2480.35,12.013489833841993,243871.98609,5507452.871086
ETH,0xa61c57d0d1a83c02542092b431999b9870dd66b9,,SHORT,-14283.5561,35438931.03971,2587.33,20.0,2818.5201265883,2480.35,13.633968052424065,1517451.09571,5771038.721135
ETH,0x45d26f28196d226497130c4bac709d808fed4029,,SHORT,-13896.0,34466248.8,2443.82,20.0,5110.0290492441,2480.35,106.02048296587579,-506896.735467,24102282.276406
ETH,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,SHORT,-13508.5757,33505320.30871,2503.12,15.0,4279.420829586,2480.35,72.53294210841213,308301.95699,28663772.212306
BTC,0x45d26f28196d226497130c4bac709d808fed4029,,SHORT,-427.5,32948280.0,76891.9,20.0,163185.2202224521,77071.5,111.73224891490644,-76978.654449,24102282.276406
BTC,0x77ddcc4b6440b3a32b7802f053105c2fad3ae0e9,,LONG,416.5851,32103880.78044,78968.8,10.0,66454.6887167659,77071.5,13.775275274562063,-793352.92898,5507452.871086
ETH,0x06bc596fb16734f7abc3a5996b580be932c2fb72,,SHORT,-12022.7356,29819991.10868,2465.4,25.0,2688.3601096643,2480.35,8.386320868599197,-179129.567855,3147880.543323
ETH,0xdf954bbe619273a56e0cfa90dad8382195dc7d72,,SHORT,-11582.0393,28726932.07579,2289.68,25.0,4541.5015449615,2480.35,83.09922168087166,-2207691.531123,5972679.012466
BTC,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,MachiBigBrother,LONG,369.0,28434033.0,77596.8,40.0,71383.5530488505,77071.5,7.380091150619227,-199198.255266,4357392.563412
ETH,0x09dccb6f33b986987457d33db6801b74d2a2c094,,LONG,11000.0,27292100.0,2465.31,20.0,1610.378067769,2480.35,35.07456335722781,173676.963889,2766200.240051
ETH,0xa9de65e6e288fa6ff806692c2464582efce3e049,,LONG,11000.0,27292100.0,2481.81,20.0,1617.0537094114,2480.35,34.80542224236902,-7879.45927,2774318.240051
ETH,0x6c93641c0a049a171bf80b34d639c51c31b259a4,,LONG,11000.0,27292100.0,2441.15,20.0,1575.3438424286,2480.35,36.48703439318644,439427.26837,2777684.240051
ETH,0x0c5d0549a1f7ad185286a08bfc10f8e9a1c936b3,,LONG,11000.0,27292100.0,2482.2,20.0,1617.3829842931,2480.35,34.792146902933055,-12153.23532,2773526.240051
ETH,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,,LONG,10016.8752,24844855.55856,2162.83,10.0,1402.7077682343,2480.35,43.447184137952306,3180053.5094,6760385.263489
