ticker,symbol,supported,timestamp_locked,data_26W,data_13W,data_7W,data_4W,large_activity_26W,large_activity_13W,large_activity_7W,large_activity_4W
ETH,ETHUSDT,True,True,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SOL,SOLUSDT,True,True,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
LINK,LINKUSDT,True,True,100.0,100.0,100.0,100.0,61.54,39.56,46.94,67.86
ONDO,ONDOUSDT,True,True,100.0,100.0,100.0,100.0,19.78,25.27,30.61,28.57
CC,CCUSDT,False,,,,,,,,,
AAVE,AAVEUSDT,True,True,100.0,100.0,100.0,100.0,31.32,17.58,20.41,25.0
MORPHO,MORPHOUSDT,True,True,100.0,100.0,100.0,100.0,2.2,3.3,6.12,7.14
TAO,TAOUSDT,True,True,100.0,100.0,100.0,100.0,60.44,36.26,38.78,53.57
HYPE,HYPEUSDT,False,,,,,,,,,
NEAR,NEARUSDT,True,True,100.0,100.0,100.0,100.0,46.15,45.05,36.73,42.86
SUI,SUIUSDT,True,True,100.0,100.0,100.0,100.0,66.48,51.65,46.94,67.86
AVAX,AVAXUSDT,True,True,100.0,100.0,100.0,100.0,24.18,16.48,16.33,21.43
XRP,XRPUSDT,True,True,100.0,100.0,100.0,100.0,98.9,97.8,95.92,92.86
XLM,XLMUSDT,True,True,100.0,100.0,100.0,100.0,21.98,25.27,26.53,28.57
HBAR,HBARUSDT,True,True,100.0,100.0,100.0,100.0,17.58,14.29,10.2,14.29
UNI,UNIUSDT,True,True,100.0,100.0,100.0,100.0,32.97,37.36,51.02,60.71
ENA,ENAUSDT,True,True,100.0,100.0,100.0,100.0,16.48,18.68,28.57,42.86
SEI,SEIUSDT,True,True,100.0,100.0,100.0,100.0,1.65,0.0,0.0,0.0
CAKE,CAKEUSDT,True,True,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ZEC,ZECUSDT,True,True,100.0,100.0,100.0,100.0,98.9,98.9,97.96,100.0
