asset,setup_time,direction,regime,v3_nofib_score,v3_fib_score,entry,stop,tp,R,outcome,MFE,MAE,false_start,split
BTCUSDT,2025-06-01 02:00:00+00:00,SHORT,BEAR_TREND,59.0,59.0,103894.9,104902.97843541294,100870.66469376117,-1.0,SL,0.1892709865595233,1.9132439820617246,True,DEV
BTCUSDT,2025-06-01 08:00:00+00:00,SHORT,BEAR_TREND,72.0,72.0,104210.9,104898.57195514532,102147.88413456401,-1.0,SL,0.7369793056238344,2.3451588914356623,False,DEV
BTCUSDT,2025-06-02 16:00:00+00:00,SHORT,BEAR_TREND,61.0,61.0,104194.9,105952.75844982454,98921.32465052635,-1.0,SL,0.12060129188511158,1.467751854682911,True,DEV
BTCUSDT,2025-06-05 00:00:00+00:00,SHORT,BEAR_TREND,74.0,74.0,104718.2,105661.76348759432,101887.50953721703,-1.0,SL,4.677056772567034,1.2294880156477428,False,DEV
BTCUSDT,2025-06-05 06:00:00+00:00,SHORT,BEAR_TREND,59.0,64.0,104554.5,105405.59733387975,102001.20799836075,-1.0,SL,4.992848444993944,1.5554037679397108,False,DEV
BTCUSDT,2025-06-05 16:00:00+00:00,SHORT,BEAR_TREND,72.0,77.0,104325.5,105934.29694814344,99499.10915556968,-0.3912861723951216,TIME,2.4990102104802934,0.5951652264786798,False,DEV
BTCUSDT,2025-06-05 22:00:00+00:00,SHORT,BEAR_TREND,56.0,56.0,101095.4,105955.19847923846,86516.0045622846,-0.6401088467535524,TIME,0.01893082612232441,0.8616818203244109,False,DEV
BTCUSDT,2025-06-06 04:00:00+00:00,SHORT,BEAR_TREND,58.0,58.0,102464.8,104894.44816360723,95175.85550917832,-1.0,SL,0.05198283516593159,1.1599210298070062,True,DEV
BTCUSDT,2025-06-08 00:00:00+00:00,LONG,BULL_TREND,62.0,62.0,105400.1,104972.5486183256,106682.75414502322,-1.0,SL,2.5318594358428674,1.1055981111528432,False,DEV
BTCUSDT,2025-06-08 06:00:00+00:00,LONG,BULL_TREND,68.0,68.0,105502.4,105301.62441361614,106104.72675915156,-1.0,SL,4.882067673935273,2.8638940139897455,False,DEV
