asset,setup_time,direction,regime,v3_nofib_score,v3_fib_score,segment_gate,entry,stop,tp,R,outcome,MFE,MAE,false_start,split,tier
BTCUSDT,2026-01-02 00:00:00+00:00,LONG,BULL_TREND,59.0,60.0,True,88599.9,87730.6255866008,91207.72324019758,1.6082378342798411,TIME,2.6978822381638783,0.3169309895165209,False,OOS,55-59
BTCUSDT,2026-01-02 06:00:00+00:00,LONG,BULL_TREND,65.0,65.0,True,88750.1,87961.60440855254,91115.58677434242,1.6327294837966901,TIME,2.7837822098289196,0.4424882063823847,False,OOS,65-69
BTCUSDT,2026-01-02 12:00:00+00:00,LONG,BULL_TREND,58.0,58.0,True,89435.3,88290.94376699853,92868.36869900441,0.1740716695163415,TIME,1.3193444108221724,0.903652175938014,False,OOS,55-59
BTCUSDT,2026-01-02 18:00:00+00:00,LONG,BULL_TREND,61.0,61.0,True,90302.0,88345.17068135705,96172.48795592885,-0.14707465656718105,TIME,0.10619219470000119,0.5318808288920115,False,OOS,60-64
BTCUSDT,2026-01-03 00:00:00+00:00,LONG,BULL_TREND,60.0,60.0,True,89997.8,88348.21911306624,94946.5426608013,0.8334844389205156,TIME,0.9698221000691315,0.4465376665276451,False,OOS,60-64
BTCUSDT,2026-01-03 06:00:00+00:00,LONG,BULL_TREND,67.0,67.0,True,90037.4,89467.5094824077,91747.07155277689,-1.0,SL,3.0572538868710355,1.3620159943691013,False,OOS,65-69
BTCUSDT,2026-01-03 13:00:00+00:00,LONG,BULL_TREND,79.0,79.0,True,89886.2,89222.7032308947,91876.6903073159,1.901893209972413,TIME,2.853819473082446,0.02969117698427034,False,OOS,75+
BTCUSDT,2026-01-03 19:00:00+00:00,LONG,BULL_TREND,67.0,67.0,True,90030.7,89229.78794868125,92433.43615395625,1.1762839608278828,TIME,2.183760373089857,0.07216772416500862,False,OOS,65-69
BTCUSDT,2026-01-04 01:00:00+00:00,LONG,BULL_TREND,68.0,68.0,True,91249.8,89597.36458638568,96207.10624084297,1.0034280228679429,TIME,1.0204332260779996,0.2781954418384855,False,OOS,65-69
BTCUSDT,2026-01-04 07:00:00+00:00,LONG,BULL_TREND,67.0,67.0,True,91281.9,89935.40698501976,95321.37904494071,0.9672534394982533,TIME,1.560052652802536,0.3652451178940621,False,OOS,65-69
BTCUSDT,2026-01-04 13:00:00+00:00,LONG,BULL_TREND,65.0,65.0,True,91148.1,90932.08371292285,91796.14886123149,-1.0,SL,10.343664499713746,1.6572824431156155,False,OOS,65-69
BTCUSDT,2026-01-04 20:00:00+00:00,LONG,BULL_TREND,62.0,62.0,True,91220.1,90757.03406000357,92609.29781998931,3.0,TP3R,7.0573102397147975,0.2448895291259852,False,OOS,60-64
BTCUSDT,2026-01-05 02:00:00+00:00,LONG,BULL_TREND,68.0,68.0,True,92821.7,90745.24391019205,99051.06826942385,0.42707380346387297,TIME,0.9336099181270454,0.34660015375839776,False,OOS,65-69
BTCUSDT,2026-01-05 08:00:00+00:00,LONG,BULL_TREND,61.0,61.0,True,92612.6,90912.19612158972,97713.81163523087,0.4270750080145213,TIME,1.2630528707143898,0.1885434419849333,False,OOS,60-64
BTCUSDT,2026-01-05 14:00:00+00:00,LONG,BULL_TREND,57.0,57.0,True,92707.5,92059.41028549758,94651.76914350726,3.0,TP3R,3.1674627047214687,0.5193725381962506,False,OOS,55-59
BTCUSDT,2026-01-05 20:00:00+00:00,LONG,BULL_TREND,50.0,50.0,True,94362.8,92236.40820481398,100741.97538555806,-1.0,SL,0.18693638721702555,1.4831697559875616,True,OOS,<55
BTCUSDT,2026-01-06 02:00:00+00:00,LONG,BULL_TREND,62.0,62.0,True,93708.5,92317.67142628576,97880.98572114273,-1.0,SL,0.5082581803106041,1.7971301763847296,False,OOS,60-64
BTCUSDT,2026-01-06 10:00:00+00:00,LONG,BULL_TREND,67.0,67.0,True,93550.9,93043.39303600606,95073.42089198179,-1.0,SL,1.7034249012006393,4.614517959655022,False,OOS,65-69
BTCUSDT,2026-01-06 23:00:00+00:00,LONG,BULL_TREND,66.0,66.0,True,93440.5,91147.54950130783,100319.3514960765,-1.0,SL,0.13210054040536834,1.22392524461417,True,OOS,65-69
BTCUSDT,2026-01-10 04:00:00+00:00,SHORT,BEAR_TREND,71.0,71.0,False,90500.0,92044.15909525903,85867.5227142229,-0.12019486889002927,TIME,0.09610408697887438,0.1942804992834464,False,OOS,70-74
