asset,version,direction,regime,setup_time,entry_time,exit_time,entry,stop,tp1,tp2,tp3,R,outcome,MFE,MAE,tp1_hit,tp2_hit,tp3_hit,false_start,pre_score,reaction_score,final_score,coverage,delay_bars,rr2,fib_used,atr_buffer,sources,split
BTCUSDT,V3_NOFIB,SHORT,BEAR_TREND,2024-01-18 00:00:00+00:00,2024-01-18 07:45:00+00:00,2024-01-18 16:30:00+00:00,42868.4,42961.64179666974,42200.0,42200.0,42050.0,7.168459037393508,TP2_CORE,23.53879996300308,0.6853149797867364,True,True,True,False,75.30864197530865,81.81818181818181,77.2615039281706,0.76,6,7.168459037393508,False,0.1,1H_MA50+4H_EMA20+HI12,TRAIN
BTCUSDT,V3_NOFIB,SHORT,BEAR_TREND,2024-06-30 00:00:00+00:00,2024-06-30 01:45:00+00:00,2024-06-30 07:00:00+00:00,60963.4,61250.3480500929,60454.3,60038.0,58218.0,-1.0,SL,0.900511433746789,9.641466457445244,False,False,False,False,76.54320987654322,68.18181818181819,74.03479236812571,0.76,5,3.22497399686252,False,0.1,1H_EMA20+SESSION_VWAP,TRAIN
BTCUSDT,V3_NOFIB,LONG,BULL_TREND,2024-12-07 20:00:00+00:00,2024-12-08 09:15:00+00:00,2024-12-08 09:45:00+00:00,99239.6,98818.34437232446,101988.8,101988.8,104630.4,-1.0,SL,5.265923715346825,2.054097187436166,False,False,False,False,75.92592592592592,86.36363636363636,79.05723905723906,0.76,2,6.526203614583939,False,0.1,1H_MA50+4H_EMA20+LO12,TRAIN
BTCUSDT,V3_NOFIB,LONG,BULL_TREND,2025-09-09 04:00:00+00:00,2025-09-09 17:45:00+00:00,2025-09-10 12:30:00+00:00,111057.7,110526.44417421645,111559.5,112867.6,113344.3,3.406833228286186,TP2_CORE,6.080309792811744,0.38004289120446316,True,True,True,False,80.86419753086419,68.18181818181819,77.05948372615039,0.76,8,3.406833228286186,False,0.1,LO12+PDC+VPOC_7D,VALIDATION
BTCUSDT,V3_FIB,SHORT,BEAR_TREND,2024-01-18 00:00:00+00:00,2024-01-18 07:45:00+00:00,2024-01-18 16:30:00+00:00,42868.4,42961.64179666974,42200.0,42200.0,42050.0,7.168459037393508,TP2_CORE,23.53879996300308,0.6853149797867364,True,True,True,False,75.30864197530865,81.81818181818181,77.2615039281706,0.76,6,7.168459037393508,False,0.1,1H_MA50+4H_EMA20+HI12,TRAIN
BTCUSDT,V3_FIB,SHORT,BEAR_TREND,2024-06-30 00:00:00+00:00,2024-06-30 01:45:00+00:00,2024-06-30 07:00:00+00:00,60963.4,61250.3480500929,60454.3,60038.0,58218.0,-1.0,SL,0.900511433746789,9.641466457445244,False,False,False,False,78.39506172839508,68.18181818181819,75.33108866442201,0.76,5,3.22497399686252,True,0.1,1H_EMA20+FIB_786+SESSION_VWAP,TRAIN
BTCUSDT,V3_FIB,LONG,BULL_TREND,2024-12-07 20:00:00+00:00,2024-12-08 09:15:00+00:00,2024-12-08 09:45:00+00:00,99239.6,98818.34437232446,101988.8,101988.8,104630.4,-1.0,SL,5.265923715346825,2.054097187436166,False,False,False,False,75.92592592592592,86.36363636363636,79.05723905723906,0.76,2,6.526203614583939,False,0.1,1H_MA50+4H_EMA20+LO12,TRAIN
BTCUSDT,V3_FIB,LONG,BULL_TREND,2025-03-06 13:00:00+00:00,2025-03-06 18:00:00+00:00,2025-03-07 00:15:00+00:00,88584.9,87465.37394694253,91000.0,92780.3,94971.0,-1.0,SL,2.3874388565594384,3.5594526711701895,True,False,False,False,69.75308641975309,81.81818181818181,73.3726150392817,0.76,3,3.747478666121475,True,0.1,1H_MA50+4H_EMA20+FIB_382,VALIDATION
ETHUSDT,V3_NOFIB,SHORT,BEAR_TREND,2024-04-27 08:00:00+00:00,2024-04-27 14:45:00+00:00,2024-04-27 17:15:00+00:00,3147.44,3169.6003560757636,3100.38,3070.16,3027.88,-1.0,SL,0.5261648305711227,8.728199101978378,False,False,False,False,84.52380952380953,86.36363636363636,85.07575757575758,0.7799999999999999,5,3.4873085854662933,False,0.1,4H_EMA20+4H_MA50+HI12+PDC+VPOC_7D,TRAIN
ETHUSDT,V3_NOFIB,SHORT,BEAR_TREND,2024-06-30 08:00:00+00:00,2024-06-30 09:45:00+00:00,2024-06-30 17:15:00+00:00,3394.39,3408.450580825998,3369.07,3348.5,3213.0,-1.0,SL,1.1727822772093361,9.229348460488632,False,False,False,False,79.76190476190474,68.18181818181819,76.28787878787878,0.7799999999999999,5,3.2637343057087325,False,0.1,1H_MA50+4H_EMA20+VPOC_7D,TRAIN
ETHUSDT,V3_NOFIB,SHORT,BEAR_TREND,2024-08-31 01:00:00+00:00,2024-08-31 01:45:00+00:00,2024-09-01 01:45:00+00:00,2525.84,2554.6880004961013,2431.0,2431.0,2388.0,1.1466999248169998,TIME,1.2208818425651484,0.10122018683390961,False,False,False,False,67.26190476190476,81.81818181818181,71.62878787878788,0.7799999999999999,1,3.287576205249234,False,0.1,1H_MA50+SESSION_VWAP,TRAIN
ETHUSDT,V3_NOFIB,SHORT,BEAR_TREND,2025-01-29 21:00:00+00:00,2025-01-29 22:00:00+00:00,2025-01-30 03:00:00+00:00,3138.97,3167.5569949666965,3038.0,3038.0,3020.17,-1.0,SL,1.7479976492182512,5.024312634725208,False,False,False,False,79.16666666666667,72.72727272727273,77.23484848484848,0.7799999999999999,2,3.5320256682322833,False,0.1,1H_MA50+HI12,VALIDATION
ETHUSDT,V3_NOFIB,LONG,BULL_TREND,2026-07-23 00:00:00+00:00,2026-07-23 08:00:00+00:00,2026-07-23 12:30:00+00:00,1914.62,1907.9654259640338,1953.64,1953.64,1958.75,-1.0,SL,2.4223939673487798,8.50843340144458,False,False,False,False,76.19047619047618,77.27272727272727,76.5151515151515,0.7799999999999999,3,5.863636017738784,False,0.1,4H_EMA20+LO12,OOS
ETHUSDT,V3_FIB,SHORT,BEAR_TREND,2024-08-31 01:00:00+00:00,2024-08-31 01:45:00+00:00,2024-09-01 01:45:00+00:00,2525.84,2554.6880004961013,2431.0,2431.0,2388.0,1.1466999248169998,TIME,1.2208818425651484,0.10122018683390961,False,False,False,False,67.26190476190476,81.81818181818181,71.62878787878788,0.7799999999999999,1,3.287576205249234,False,0.1,1H_MA50+SESSION_VWAP,TRAIN
