run_id,executed_kst,market_positive,liquidity_lead,crypto_money_inflow,alt_money_inflow,coverage,confidence,direction,risk_veto
MMARKET-V12-20260905-0100-KST,2026-09-05 01:02 KST,44,42,66,40,74,B,SHORT,HAWKISH_JOBS+OIL
MMARKET-V12-20260905-0500-KST,2026-09-05 05:03 KST,47,43,66,42,80,B,SHORT,HAWKISH_JOBS+HIGH_REAL_YIELD
MMARKET-V12-20260905-0900-KST,2026-09-05 09:00 KST,43,40,58,38,78,B,SHORT,OIL_SHOCK+HAWKISH_JOBS+HIGH_REAL_YIELD
MMARKET-V12-20260905-1300-KST,2026-09-05 13:02 KST,42,39,57,39,80,B,SHORT,OIL_SHOCK+HAWKISH_JOBS+HIGH_REAL_YIELD
MMARKET-V12-20260905-1700-KST,2026-09-05 17:00 KST,44,40,59,41,80,B,SHORT,OIL_SHOCK+HAWKISH_JOBS+HIGH_REAL_YIELD
MMARKET-V12-20260905-2100-KST,2026-09-05 21:00 KST,41,38,58,39,79,B,SHORT,OIL_SHOCK+KHARG_ATTACK+HAWKISH_JOBS+HIGH_REAL_YIELD
MMARKET-V12-20260906-0100-KST,2026-09-06 01:01 KST,42,36,61,41,82,B,SHORT,OIL_SHOCK+US_IRAN_TANKER_STRIKES+HAWKISH_JOBS+HIGH_REAL_YIELD
MMARKET-V12-20260906-0500-KST,2026-09-06 05:00 KST,43,36,62,43,82,B,SHORT,OIL_SHOCK+US_IRAN_TANKER_STRIKES+HAWKISH_JOBS+HIGH_REAL_YIELD
MMARKET-V12-20260906-0900-KST,2026-09-06 09:00 KST,42,36,61,40,82,B,SHORT,OIL_SHOCK+US_IRAN_TANKER_STRIKES+HAWKISH_JOBS+HIGH_REAL_YIELD
MMARKET-V12-20260906-1300-KST,2026-09-06 13:02 KST,43,37,60,42,84,B,SHORT,OIL_SHOCK+US_IRAN_TANKER_STRIKES+HAWKISH_JOBS+HIGH_REAL_YIELD
MMARKET-V12-20260906-1700-KST,2026-09-06 17:00 KST,41,37,59,41,86,B,SHORT,OIL_SHOCK+US_IRAN_TANKER_STRIKES+HAWKISH_JOBS+HIGH_REAL_YIELD
MMARKET-V12-20260906-2100-KST,2026-09-06 21:02 KST,43,37,60,42,87,B,SHORT,OIL_SHOCK+US_IRAN_TANKER_STRIKES+HAWKISH_JOBS+HIGH_REAL_YIELD
MMARKET-V12-20260907-0100-KST,2026-09-07 01:02 KST,41,37,59,40,87,B,SHORT,OIL_SHOCK+OPEC_UNCHANGED+HAWKISH_JOBS+HIGH_REAL_YIELD
MMARKET-V12-20260907-0500-KST,2026-09-07 05:00 KST,42,37,60,42,88,B,SHORT,OIL_SHOCK+OPEC_UNCHANGED+HAWKISH_JOBS+HIGH_REAL_YIELD
MMARKET-V12-20260907-0900-KST,2026-09-07 09:00 KST,44,37,61,44,89,B,SHORT,OIL_SHOCK+OPEC_UNCHANGED+HAWKISH_JOBS+HIGH_REAL_YIELD
MMARKET-V12-20260907-1300-KST,2026-09-07 13:00 KST,41,36,61,42,92,B,SHORT,OIL_SHOCK+US_IRAN_SHIPPING_ESCALATION+HAWKISH_JOBS+HIGH_REAL_YIELD
MMARKET-V12-20260907-2100-KST,2026-09-07 21:00 KST,40,36,61,42,92,B,SHORT,OIL_SHOCK+US_IRAN_SHIPPING_ESCALATION+HAWKISH_JOBS+HIGH_REAL_YIELD
MMARKET-V12-20260908-0900-KST,2026-09-08 09:01 KST,39,36,60,41,92,B,SHORT,OIL_SHOCK+US_IRAN_SHIPPING_ESCALATION+HIGH_REAL_YIELD+LIQUID_NETWORK_HACK
MMARKET-V12-20260908-1300-KST,2026-09-08 13:03 KST,37,36,58,39,93,B,SHORT,OIL_SHOCK+US_IRAN_SHIPPING_ESCALATION+HIGH_REAL_YIELD+LIQUID_NETWORK_HACK
MMARKET-V12-20260908-1700-KST,2026-09-08 17:01 KST,35,36,56,38,93,B,SHORT,OIL_SHOCK+US_IRAN_SHIPPING_ESCALATION+HIGH_REAL_YIELD
MMARKET-V12-20260908-2100-KST,2026-09-08 21:03 KST,35,36,56,38,91,B,SHORT,OIL_SHOCK+US_IRAN_SHIPPING_ESCALATION+HIGH_REAL_YIELD+LIQUID_NETWORK_HACK
MMARKET-V12-20260909-0100-KST,2026-09-09 01:02 KST,35,36,56,38,91,B,SHORT,OIL_SHOCK+US_IRAN_SHIPPING_ESCALATION+HIGH_REAL_YIELD
MMARKET-V12-20260909-0500-KST,2026-09-09 05:02 KST,35,36,56,38,91,B,SHORT,OIL_SHOCK+US_IRAN_SHIPPING_ESCALATION+HIGH_REAL_YIELD
MMARKET-V12-20260909-0900-KST,2026-09-09 09:00 KST,35,36,56,38,93,B,SHORT,OIL_SHOCK+HIGH_REAL_YIELD
MMARKET-V12-20260909-1300-KST,2026-09-09 13:00 KST,35,36,56,38,93,B,SHORT,OIL_SHOCK+HIGH_REAL_YIELD+US_IRAN_ESCALATION
MMARKET-V12-20260909-1700-KST,2026-09-09 17:00 KST,34,36,55,38,93,B,SHORT,OIL_SHOCK+HIGH_REAL_YIELD+US_IRAN_ESCALATION
MMARKET-V12-20260909-2100-KST,2026-09-09 21:02 KST,34,36,55,38,93,B,SHORT,OIL_SHOCK+HIGH_REAL_YIELD+US_IRAN_ESCALATION
MMARKET-V12-20260910-0100-KST,2026-09-10 01:02 KST,34,36,55,38,93,B,SHORT,OIL_SHOCK+HIGH_REAL_YIELD+US_IRAN_ESCALATION
