run_id,scheduled_kst,score_generated_at_utc,market_positive,liquidity_lead,crypto_money_inflow,alt_money_inflow,overall_coverage_pct,status
MMARKET-SCORE-V12-20260913-0100-KST,2026-09-13 01:00 KST,2026-09-12T16:02:08.576735Z,52.7,53.8,53.8,56.2,100.0,ACTIVE_OK
MMARKET-SCORE-V12-20260913-0500-KST,2026-09-13 05:00 KST,2026-09-12T20:02:02.509753Z,55.6,53.8,53.8,60.0,100.0,ACTIVE_OK
MMARKET-SCORE-V12-20260913-0900-KST,2026-09-13 09:00 KST,2026-09-13T00:02:35.319122Z,54.3,55.0,56.2,62.5,100.0,ACTIVE_OK
MMARKET-SCORE-V12-20260913-1300-KST,2026-09-13 13:00 KST,2026-09-13T04:02:19.758584Z,53.0,55.0,56.2,62.5,100.0,ACTIVE_OK
MMARKET-SCORE-V12-20260913-1700-KST,2026-09-13 17:00 KST,2026-09-13T08:02:01.529922Z,52.1,55.0,55.0,56.2,100.0,ACTIVE_OK
MMARKET-SCORE-V12-20260913-2100-KST,2026-09-13 21:00 KST,2026-09-13T12:02:27.613292Z,42.0,47.5,41.2,50.0,100.0,ACTIVE_OK
MMARKET-SCORE-V12-20260914-0100-KST,2026-09-14 01:00 KST,2026-09-13T16:02:04.504263Z,42.0,47.5,41.2,50.0,100.0,ACTIVE_OK
MMARKET-SCORE-V12-20260914-0500-KST,2026-09-14 05:00 KST,2026-09-13T20:02:16.230760Z,47.2,47.5,45.0,55.0,100.0,ACTIVE_OK
MMARKET-SCORE-V12-20260914-1300-KST,2026-09-14 13:00 KST,2026-09-14T04:02:11.136653Z,47.7,50.0,51.2,61.2,100.0,ACTIVE_OK
MMARKET-SCORE-V12-20260915-1700-KST,2026-09-15 17:00 KST,2026-09-15T08:03:19.168440Z,52.4,52.5,61.2,63.8,100.0,ACTIVE_OK
MMARKET-SCORE-V12-20260915-2100-KST,2026-09-15 21:00 KST,2026-09-15T12:02:42.382544Z,59.2,52.5,62.5,65.3,90.0,ACTIVE_OK
MMARKET-SCORE-V12-20260916-0100-KST,2026-09-16 01:00 KST,2026-09-15T16:02:13.184003Z,46.3,50.0,56.9,58.3,90.0,ACTIVE_OK
MMARKET-SCORE-V12-20260916-0500-KST,2026-09-16 05:00 KST,2026-09-15T20:02:24.150512Z,39.7,47.5,51.4,51.4,90.0,ACTIVE_OK
MMARKET-SCORE-V12-20260916-0900-KST,2026-09-16 09:00 KST,2026-09-16T00:02:32.756425Z,41.5,37.5,37.5,45.8,90.0,ACTIVE_OK
MMARKET-SCORE-V12-20260916-1300-KST,2026-09-16 13:00 KST,2026-09-16T04:02:05.967922Z,34.6,35.0,29.2,43.1,90.0,ACTIVE_OK
MMARKET-SCORE-V12-20260916-1700-KST,2026-09-16 17:00 KST,2026-09-16T08:02:29.370459Z,32.8,35.0,23.6,38.9,90.0,ACTIVE_OK
MMARKET-SCORE-V12-20260916-2100-KST,2026-09-16 21:00 KST,2026-09-16T12:02:38.226225Z,31.5,35.0,23.6,38.9,90.0,ACTIVE_OK
MMARKET-SCORE-V12-20260917-0100-KST,2026-09-17 01:00 KST,2026-09-16T16:02:47.981413Z,37.2,35.0,20.8,40.3,90.0,ACTIVE_OK
MMARKET-SCORE-V12-20260917-0500-KST,2026-09-17 05:00 KST,2026-09-16T20:02:26.588316Z,33.4,28.8,20.8,45.8,90.0,ACTIVE_OK
MMARKET-SCORE-V12-20260917-0900-KST,2026-09-17 09:00 KST,2026-09-17T00:02:27.013608Z,42.2,33.8,36.2,55.0,100.0,ACTIVE_OK
MMARKET-SCORE-V12-20260917-1300-KST,2026-09-17 13:00 KST,2026-09-17T04:02:31.335182Z,44.3,36.2,38.8,50.0,100.0,ACTIVE_OK
MMARKET-SCORE-V12-20260917-1700-KST,2026-09-17 17:00 KST,2026-09-17T08:02:18.846825Z,39.0,36.2,31.2,41.2,100.0,ACTIVE_OK
